Drug,lncRNA
Estradiol,RFPL1S
alpha-estradiol,LINC00963
Tretinoin,LINC00963
Tretinoin,LINC00472
Alvespimycin,RFPL1S
Alvespimycin,LINC00342
Alvespimycin,LINC02172
Prochlorperazine,LINC01963
LY-294002,AC044802.1
LY-294002,AL441883.1
LY-294002,ENSG00000229645
Chlorpromazine,LINC02172
Tanespimycin,CTXND1
Tanespimycin,AC010834.1
Tanespimycin,LINC00963
monorden,AC044802.1
monorden,KIF25-AS1
Masoprocol,AL441883.1
Masoprocol,AL139352.1
Trifluoperazine,NOP14-AS1
Trifluoperazine,MCF2L-AS1
Trifluoperazine,ENSG00000229645
Tanespimycin,RFPL1S
Tanespimycin,SNHG14
Geldanamycin,AC098487.1
Geldanamycin,IDI2-AS1
Geldanamycin,LINC02172
Geldanamycin,LINC00342
Clozapine,AC002310.2
Clozapine,KIF25-AS1
Thioridazine,RFPL1S
Thioridazine,AC010834.1
Thioridazine,XIST
15-delta prostaglandin J2,LINC00342
15-delta prostaglandin J2,LINC00472
Troglitazone,AL139352.1
Troglitazone,AC010834.1
Rosiglitazone,RFPL1S
Rosiglitazone,MEG3
Genistein,CTXND1
Genistein,LINC00963
Genistein,LINC00472
LY-294002,AL021937.4
Fulvestrant,AC004690.2
LY-294002,NDST2
Valproic Acid,LINC01361
Valproic Acid,ACVR2B-AS1
Estradiol,LINC01361
Estradiol,NOP14-AS1
Sirolimus,CTXND1
Wortmannin,AL450384.2
Wortmannin,LINC00963
Wortmannin,TP73-AS1
Wortmannin,ACVR2B-AS1
Wortmannin,AFDN-DT
Haloperidol,VASH1-AS1
Haloperidol,SNHG14
Alfuzosin,LINC00652
Alfuzosin,AC007613.1
Naloxone,AL117378.1
Naloxone,XIST
Meclizine,AL441883.1
Meclizine,MCF2L-AS1
Meclizine,AP001062.1
Meclizine,XIST
Butylparaben,ATXN8OS
Butylparaben,LINC00652
Latamoxef,SNHG14
Pentoxyverine,AL441883.1
Pentoxyverine,AL034550.1
Pentoxyverine,TCL6
cotinine,ATXN8OS
cotinine,LINC00563
cephaeline,LINC02172
cephaeline,AL031598.1
cephaeline,RHPN1-AS1
Phenoxybenzamine,VASH1-AS1
Phenoxybenzamine,AL117378.1
Phenoxybenzamine,AC007613.1
phthalylsulfathiazole,AL355922.1
Dipyridamole,LINC01136
Dipyridamole,MCF2L-AS1
Dipyridamole,CTXND1
Amiodarone,MCF2L-AS1
lorglumide,AC044802.1
Equilin,RFPL1S
Guanfacine,MCF2L-AS1
Guanfacine,CTXND1
Sulfisoxazole,AL139352.1
Clioquinol,LINC02172
Clioquinol,LINC00563
3-acetylcoumarin,NOP14-AS1
3-acetylcoumarin,AL117378.1
3-acetylcoumarin,LINC00599
Probucol,AC098487.1
Azathioprine,VASH1-AS1
Azathioprine,AC007613.1
bephenium hydroxynaphthoate,XIST
bephenium hydroxynaphthoate,AC044802.1
bephenium hydroxynaphthoate,KLF3-AS1
Pentetic acid,LINC00342
Pentetic acid,LINC00472
Clenbuterol,LINC01361
Clenbuterol,MCF2L-AS1
Serotonin,AL355922.1
Serotonin,AC007405.1
Flurbiprofen,TP73-AS1
Flurbiprofen,LINC02172
thioperamide,TCL6
thioperamide,LINC00963
Testosterone,MCF2L-AS1
Methyldopa,LINC00563
Haloperidol,LINC00563
Haloperidol,XIST
pirenperone,PVT1
pirenperone,LINC00563
digoxigenin,FOXD1-AS1
digoxigenin,NBPF1
digoxigenin,MEG3
3-hydroxy-DL-kynurenine,AC007613.1
Clofazimine,XIST
Clofazimine,AL034550.1
Acyclovir,RFPL1S
Acyclovir,LINC01361
Acyclovir,AC098487.1
Acyclovir,TCL6
Biperiden,AC007613.1
Biperiden,FOXN3-AS2
Biperiden,FOXD1-AS1
Biperiden,RFPL1S
Timolol,LINC00563
Timolol,RFPL1S
Procainamide,LINC00574
Procainamide,MCF2L-AS1
Procainamide,RHPN1-AS1
Procainamide,ZNF213-AS1
Practolol,LINC00963
Practolol,AL139352.1
Practolol,AL117378.1
Bromocriptine,LINC00963
Bromocriptine,MEG3
naringin,ENSG00000229645
naringin,AL355922.1
naringin,XIST
naringin,MEG3
Metyrapone,KIF25-AS1
Metyrapone,AC098487.1
Metyrapone,NOP14-AS1
Metyrapone,FOXD1-AS1
Metyrapone,TCL6
dimethadione,NDUFB2-AS1
dimethadione,MYCNOS
dimethadione,AC007405.1
dimethadione,LINC00574
Betaxolol,AL441883.1
Betaxolol,VASH1-AS1
Betaxolol,MCF2L-AS1
Betaxolol,AC004690.2
Betaxolol,LINC00963
Betaxolol,TP73-AS1
Zimelidine,AL355922.1
Zimelidine,SNHG20
Zimelidine,AC010834.1
Doxorubicin,LINC01361
Doxorubicin,LINC00588
Doxorubicin,AC093010.3
Tyloxapol,LINC00963
Tyloxapol,NOP14-AS1
Tyloxapol,AC004690.2
Tyloxapol,AL117378.1
Tyloxapol,AFDN-DT
Tyloxapol,AC013391.3
Capsaicin,LINC00599
Capsaicin,ENSG00000229645
Capsaicin,KIF25-AS1
Capsaicin,AC010834.1
Capsaicin,NDST2
Capsaicin,MEG3
Bepridil,LINC00472
Bepridil,AL139352.1
Bepridil,AC044802.1
Bepridil,AC010834.1
Bepridil,LINC00963
Colchicine,MCF2L-AS1
oleandomycin,EGOT
oleandomycin,MYCNOS
oleandomycin,AL441883.1
oleandomycin,LINC00963
Bisacodyl,THAP9-AS1
Bisacodyl,AL117378.1
Bisacodyl,MCM3AP-AS1
Bisacodyl,PART1
Bisacodyl,ELOA-AS1
Bisacodyl,WT1-AS
Ritodrine,AC007389.3
Ritodrine,AL139352.1
Ritodrine,LINC01963
Dehydrocholic acid,KIF25-AS1
Dehydrocholic acid,IDI2-AS1
Dehydrocholic acid,RFPL1S
Dehydrocholic acid,AC010834.1
Dehydrocholic acid,AC044802.1
N-acetyl-L-leucine,RHPN1-AS1
N-acetyl-L-leucine,ZNF213-AS1
N-acetyl-L-leucine,CTXND1
N-acetyl-L-leucine,SMG7-AS1
N-acetyl-L-leucine,LINC01361
N-acetyl-L-leucine,AP001062.1
N-acetyl-L-leucine,ELOA-AS1
N-acetyl-L-leucine,AC004690.2
N-acetyl-L-leucine,MCF2L-AS1
Hymecromone,AC096564.2
Hymecromone,RFPL1S
Hymecromone,ZNF710-AS1
Ketoconazole,MCF2L-AS1
Ketoconazole,RFPL1S
Ketoconazole,LINC00963
Ketoconazole,LINC00652
Ketoconazole,LINC01136
Ketoconazole,PART1
Ketoconazole,LINC01361
Ketoconazole,AC010542.4
Ketoconazole,LINC02172
Ketoconazole,MYCNOS
Ketoconazole,ACVR2B-AS1
Kanamycin,FOXD1-AS1
Kanamycin,RFPL1S
Kanamycin,AP001062.1
Kanamycin,MCF2L-AS1
epiandrosterone,VASH1-AS1
epiandrosterone,NDUFB2-AS1
epiandrosterone,AL031598.1
Altretamine,AC010834.1
Altretamine,AC013391.3
Altretamine,AL355922.1
Altretamine,LINC02172
Altretamine,NDST2
Crotamiton,AC007389.3
Crotamiton,TCL6
Crotamiton,AL117378.1
Crotamiton,MEG3
Crotamiton,LINC00963
Crotamiton,NDST2
Crotamiton,MYCNOS
Crotamiton,PART1
Crotamiton,AC098487.1
Crotamiton,CTXND1
Crotamiton,LINC00472
Crotamiton,AL157838.1
Droperidol,MCF2L-AS1
Droperidol,LINC01361
Droperidol,PYY2
Droperidol,CTXND1
Droperidol,ZNF213-AS1
Droperidol,AL117378.1
Hycanthone,Z83844.2
Hycanthone,MEG3
Hycanthone,MCM3AP-AS1
Hycanthone,AC090360.1
Hycanthone,LINC00472
Hycanthone,AL450384.2
Josamycin,AC044802.1
Josamycin,CTXND1
Josamycin,LINC00963
Josamycin,LINC02172
Josamycin,TCL6
terguride,LINC01361
terguride,PART1
terguride,LINC00574
terguride,ZNF213-AS1
terguride,NDUFB2-AS1
terguride,TCL6
terguride,VASH1-AS1
eticlopride,AFDN-DT
eticlopride,SNHG14
eticlopride,ACVR2B-AS1
eticlopride,AC007613.1
eticlopride,ZNF710-AS1
androsterone,KIF25-AS1
androsterone,MYCNOS
androsterone,AL355922.1
androsterone,NOP14-AS1
androsterone,AC044802.1
androsterone,TCL6
Chlormezanone,GSN-AS1
Chlormezanone,LINC02172
Chlormezanone,LINC00963
Chlormezanone,AC093010.3
Perphenazine,LINC00563
Perphenazine,AFDN-DT
Perphenazine,ZNF213-AS1
Perphenazine,AC096564.2
Perphenazine,AL117378.1
Dioxybenzone,AL031598.1
Dioxybenzone,MCF2L-AS1
Dioxybenzone,AC044802.1
Dioxybenzone,NDST2
Felbinac,LINC01136
Felbinac,ACVR2B-AS1
Felbinac,LINC00339
Felbinac,ZNF710-AS1
Felbinac,AL441883.1
Felbinac,HEXA-AS1
Domperidone,LINC00574
Domperidone,NDST2
Domperidone,LINC00472
Domperidone,LINC00963
Domperidone,LINC01963
Domperidone,LINC00563
Domperidone,IDI2-AS1
Vanoxerine,ZNF710-AS1
Vanoxerine,AC004690.2
Vanoxerine,CROCCP2
Vanoxerine,AL450384.2
Vanoxerine,CTXND1
Vanoxerine,NEAT1
Vanoxerine,SNHG14
Vanoxerine,LINC00563
Vanoxerine,NDUFB2-AS1
Vanoxerine,LINC01963
Vanoxerine,AC007613.1
Vanoxerine,LINC00472
Vanoxerine,THAP9-AS1
Vanoxerine,LINC00652
Guanabenz,AC096564.2
Guanabenz,LINC01361
Guanabenz,SNHG14
Guanabenz,ENSG00000229645
Iohexol,LINC01361
Iohexol,AL117378.1
Iohexol,LINC00339
Iohexol,AL441883.1
Iohexol,KIF25-AS1
Iohexol,PVT1
Iohexol,SNHG14
Mefloquine,LINC00652
Mefloquine,ZNF213-AS1
Mefloquine,AC093010.3
Mefloquine,TCL6
ricinine,SMIM27
ricinine,LINC00963
ricinine,AC010834.1
Clotrimazole,AC007405.1
Clotrimazole,LINC00342
tetrahydroalstonine,NDST2
tetrahydroalstonine,IDI2-AS1
tetrahydroalstonine,ZNF213-AS1
Disulfiram,XIST
Etanidazole,ZNF213-AS1
Etanidazole,LINC00963
Etanidazole,AL031598.1
Etanidazole,SNHG3
Guanethidine,LINC01963
Guanethidine,NOP14-AS1
Sulfameter,MCF2L-AS1
Sulfameter,AC004690.2
Sulfameter,LINC02172
syrosingopine,NDST2
syrosingopine,ZNF710-AS1
syrosingopine,SNHG3
syrosingopine,AC098487.1
syrosingopine,RHPN1-AS1
Cyclopentolate,AC093010.3
Cyclopentolate,AL034550.1
Gallamine Triethiodide,XIST
Trioxsalen,KIF25-AS1
Trioxsalen,AC002310.2
Trioxsalen,NOP14-AS1
Trioxsalen,AL355922.1
Trioxsalen,LINC01136
Trioxsalen,IDI2-AS1
fipexide,XIST
fipexide,ZNF213-AS1
mevalolactone,AC007405.1
Cytisine,AC007405.1
Cytisine,NOP14-AS1
Cytisine,AC096564.2
Cytisine,AL355922.1
Ciprofibrate,LINC00963
Ciprofibrate,AC002310.2
Ciprofibrate,ENSG00000229645
Ciprofibrate,WT1-AS
Ciprofibrate,LINC00563
Ciprofibrate,ZNF213-AS1
fluorocurarine,VASH1-AS1
fluorocurarine,LINC00342
cicloheximide,PVT1
cicloheximide,IDI2-AS1
calycanthine,LINC00563
calycanthine,ENSG00000229645
calycanthine,MEG3
calycanthine,ZNF710-AS1
dizocilpine,WT1-AS
dizocilpine,ZNF213-AS1
Amodiaquine,ZNF213-AS1
Amodiaquine,AC044802.1
Amodiaquine,WT1-AS
Amodiaquine,ENSG00000229645
Amodiaquine,SMIM27
butacaine,ZNF213-AS1
Physostigmine,ENSG00000229645
Physostigmine,LINC00563
Physostigmine,RHPN1-AS1
Physostigmine,FOXN3-AS2
chloropyrazine,PRIM2
chloropyrazine,AL117378.1
chloropyrazine,LINC00563
Dihydrostreptomycin,MCF2L-AS1
Dihydrostreptomycin,LINC00342
Alclometasone,NDST2
Alclometasone,LINC00472
Alclometasone,AC007613.1
Sulfinpyrazone,KIF25-AS1
Sulfinpyrazone,TCL6
Cromoglicic acid,PRKCZ-AS1
Cromoglicic acid,AC004690.2
Cromoglicic acid,MCF2L-AS1
Racecadotril,LINC00342
Racecadotril,LINC00563
Racecadotril,VASH1-AS1
Thiethylperazine,IDI2-AS1
Thiethylperazine,AL355922.1
Tetracycline,TCL6
Tetracycline,NDUFB2-AS1
Tetracycline,LINC00472
Tetracycline,LINC00342
Phenazopyridine,LINC00342
Phenazopyridine,AL355922.1
Phenazopyridine,ZNF213-AS1
Phenazopyridine,ENSG00000229645
Phenazopyridine,IDI2-AS1
Raloxifene,ENSG00000229645
Raloxifene,LINC00563
Raloxifene,LINC02172
(+)-chelidonine,LINC00963
(+)-chelidonine,AC007389.3
(+)-chelidonine,XIST
Cefepime,AL117378.1
Cefepime,ACVR2B-AS1
Tranexamic acid,AC007876.1
Pheneticillin,LINC01361
Pheneticillin,NDUFB2-AS1
Pheneticillin,WT1-AS
Pheneticillin,VASH1-AS1
Pheneticillin,ZNF710-AS1
Pheneticillin,IDI2-AS1
Terbutaline,LINC00652
Terbutaline,RFPL1S
Terbutaline,LINC01136
Terbutaline,AC007405.1
Naltrexone,AC090360.1
Naltrexone,MYCNOS
skimmianine,SNHG3
Tretinoin,LINC01361
Tretinoin,AL450384.2
Tretinoin,ZNF710-AS1
Hexylcaine,AL021937.4
Hexylcaine,TP73-AS1
Papaverine,AL021937.4
Papaverine,FOXD1-AS1
Saquinavir,GSN-AS1
Saquinavir,TCL6
Fluorometholone,AL117378.1
Oxytetracycline,VASH1-AS1
Oxytetracycline,ZNF710-AS1
Oxytetracycline,TCL6
Oxytetracycline,LINC02172
methacholine chloride,NDUFB2-AS1
methacholine chloride,TCL6
Nicergoline,AC013391.3
Nicergoline,AC090360.1
Nicergoline,AL021937.4
Hexestrol,LINC01963
Hexestrol,SNHG3
spiperone,LINC02172
spiperone,NEAT1
spiperone,AL157838.1
spiperone,AL450384.2
spiperone,XIST
spiperone,MIR22HG
Ebselen,SNHG3
Ebselen,RHPN1-AS1
ellipticine,NDST2
ellipticine,AL441883.1
ellipticine,SMAD5-AS1
ellipticine,AL450384.2
methanthelinium bromide,LINC00652
methanthelinium bromide,AL021937.4
methanthelinium bromide,NEAT1
methanthelinium bromide,AC007876.1
methanthelinium bromide,RHPN1-AS1
methanthelinium bromide,AC002310.2
methanthelinium bromide,XIST
Bupropion,AL021937.4
Bupropion,MCF2L-AS1
Bupropion,XIST
Cinoxacin,LINC01136
Cinoxacin,AC010834.1
Cinoxacin,PRIM2
Cinoxacin,MYCNOS
Dorzolamide,LINC00599
Dorzolamide,XIST
Dorzolamide,AC002310.2
Dorzolamide,NOP14-AS1
Mianserin,LINC00472
Mianserin,FOXN3-AS2
Mianserin,AL450384.2
Mianserin,AC002310.2
Cefuroxime,AC004690.2
Cefuroxime,MCF2L-AS1
Cefuroxime,AL021937.4
Azlocillin,TCL6
hydroquinine,NOP14-AS1
hydroquinine,AC010834.1
hydroquinine,TCL6
hydroquinine,AL117378.1
hydroquinine,WT1-AS
Thioproperazine,ENSG00000229645
Thioproperazine,AL117378.1
Thioproperazine,RHPN1-AS1
Thioproperazine,LINC00963
Butamben,WT1-AS
Butamben,SNHG3
Butamben,AC004690.2
Butamben,ZNF213-AS1
Butamben,XIST
Butamben,MCF2L-AS1
Quinidine,WT1-AS
Quinidine,AL450384.2
Quinidine,KIF25-AS1
Quinidine,PRKCZ-AS1
Quinidine,PART1
Methazolamide,XIST
Methazolamide,LINC01361
Methazolamide,AC004690.2
Methazolamide,ZNF213-AS1
Methazolamide,LINC02172
Ondansetron,NDUFB2-AS1
Ondansetron,AL355922.1
Dexamethasone,LINC01136
Dexamethasone,WT1-AS
Dexamethasone,MEG3
Dexamethasone,AP003469.4
Sulfamethizole,WT1-AS
Sulfamethizole,LINC01136
Sulfamethizole,AC002310.2
Sulfamethizole,ATXN8OS
tremorine,LINC01136
tremorine,LINC00963
tremorine,AL157838.1
tremorine,AC098487.1
alpha-yohimbine,AC010834.1
alpha-yohimbine,RFPL1S
alpha-yohimbine,WT1-AS
alpha-yohimbine,GSN-AS1
alpha-yohimbine,NDUFB2-AS1
alpha-yohimbine,AL021937.4
alpha-yohimbine,MYCNOS
Mephenytoin,MCF2L-AS1
Mephenytoin,AL450384.2
Mephenytoin,LINC00599
Mephenytoin,LINC01361
Mephenytoin,DIAPH2-AS1
Mephenytoin,LINC02172
propidium iodide,XIST
propidium iodide,AL021937.4
propidium iodide,AL117378.1
lidoflazine,AL157838.1
lidoflazine,MCF2L-AS1
Ifosfamide,AL021937.4
Ifosfamide,XIST
Ifosfamide,LINC01136
Ifosfamide,LINC00652
Ifosfamide,TCL6
Ifosfamide,VASH1-AS1
Natamycin,ACVR2B-AS1
Diazoxide,CTXND1
Benzydamine,AL117378.1
Benzydamine,SNHG3
Pyridoxine,AL117378.1
Pyridoxine,RHPN1-AS1
Pyridoxine,NDST2
Dexpropranolol,ATXN8OS
Dexpropranolol,SMIM27
Dexpropranolol,MCM3AP-AS1
Cinnarizine,LINC00652
Cinnarizine,AC093010.3
Cinnarizine,AC098487.1
hecogenin,RHPN1-AS1
hecogenin,TCL6
Trifluridine,AC093010.3
Tetrandrine,LINC00342
ursolic acid,ENSG00000229645
strophanthidin,NEAT1
strophanthidin,MCF2L-AS1
strophanthidin,IDI2-AS1
Mifepristone,AL157838.1
pseudopelletierine,AL021937.4
pseudopelletierine,PRIM2
Ticarcillin,LINC00339
Cefotaxime,SMIM27
Terazosin,AL117378.1
Iopamidol,AL157838.1
cinchonidine,AC093010.3
cinchonidine,LINC01963
piperacetazine,AC098487.1
piperacetazine,NOP14-AS1
Triamcinolone,EGOT
Streptozocin,LINC01361
Streptomycin,AL117378.1
Streptomycin,AC044802.1
Streptomycin,NDUFB2-AS1
Doxycycline,SMIM27
Isoniazid,AC007389.3
Isoniazid,LINC00342
Isoniazid,AC093010.3
Podofilox,AC007613.1
Podofilox,NEAT1
Podofilox,NOP14-AS1
Ketotifen,LINC00472
Ketotifen,LINC00574
sulfamonomethoxine,AL157838.1
Folic Acid,TCL6
Folic Acid,AL157838.1
Glyburide,FOXD1-AS1
Glyburide,AC098487.1
Vidarabine,RHPN1-AS1
Vidarabine,SMIM27
Noscapine,ZNF213-AS1
Sulfadoxine,AL021937.4
Sulfadoxine,NDST2
Sulfadoxine,LINC01963
Levonordefrin,LINC00563
harmine,SMIM27
harmine,AC007405.1
harmine,SNHG3
harmine,IDI2-AS1
harmine,AL034550.1
harmine,MEG3
Milrinone,SMIM27
delsoline,AC093010.3
delsoline,LINC01963
delsoline,SNHG3
Vinpocetine,LINC01963
pridinol,AC010834.1
pridinol,LINC00563
Diclofenac,LINC02172
Diclofenac,LINC01963
Repaglinide,XIST
Repaglinide,CTXND1
Repaglinide,AC044802.1
Repaglinide,AC007405.1
Repaglinide,LINC00472
Repaglinide,TP73-AS1
Nomifensine,MCF2L-AS1
Nomifensine,LINC01963
Nomifensine,XIST
Nomifensine,NOP14-AS1
abamectin,SNHG3
abamectin,SMAD5-AS1
abamectin,AC093010.3
abamectin,LINC01963
abamectin,AL355922.1
Atropine,ATXN8OS
Atropine,VASH1-AS1
Estriol,AL355922.1
Estriol,TCL6
Neomycin,ATXN8OS
Cefmetazole,KIF25-AS1
Cefmetazole,SMIM27
bergenin,RHPN1-AS1
bergenin,RFPL1S
Oxprenolol,NOP14-AS1
Pirenzepine,AFDN-DT
Pirenzepine,LINC00563
Nadide,KIF25-AS1
Praziquantel,LINC01361
Gabapentin,AL021937.4
Gabapentin,ZNF710-AS1
Gabapentin,AL355922.1
convolamine,AL117378.1
convolamine,CTXND1
Azaperone,RHPN1-AS1
Acenocoumarol,SMIM27
Acenocoumarol,AC093010.3
ramifenazone,AC093010.3
Fluphenazine,SNHG3
Alimemazine,AL355922.1
Alimemazine,KIF25-AS1
Alimemazine,CTXND1
Alimemazine,AC093010.3
Alimemazine,TCL6
Gentamicin,AC007876.1
Gentamicin,LINC01963
Gentamicin,PRIM2
Leflunomide,SNHG3
Leflunomide,TCL6
Leflunomide,LINC00563
Bambuterol,SMIM27
Bambuterol,AC013391.3
Bambuterol,MYCNOS
Bucladesine,AL355922.1
Bucladesine,AL157838.1
Bucladesine,KIF25-AS1
quipazine,AC096564.2
quipazine,AL117378.1
quipazine,AL355922.1
quipazine,AC007389.3
quipazine,AC090360.1
quipazine,NEAT1
quipazine,MEG3
quipazine,LINC01963
quipazine,AC093010.3
Mesalazine,FOXN3-AS2
Mesalazine,AL117378.1
trichostatin A,AC013391.3
Estradiol,AC007876.1
Estradiol,AL450384.2
Estradiol,LINC00599
Estradiol,AL021937.4
Estradiol,LINC00652
Estradiol,AC013391.3
Estradiol,AC090360.1
Valinomycin,FOXN3-AS2
Valinomycin,AL021937.4
Valinomycin,SNHG14
Valinomycin,MCF2L-AS1
Valinomycin,LINC00599
Valinomycin,AC013391.3
Valinomycin,AL355922.1
Valinomycin,AL117378.1
Valinomycin,AL034550.1
Valinomycin,AL450384.2
Valinomycin,IDI2-AS1
Valinomycin,ZNF213-AS1
Valinomycin,AL441883.1
Valinomycin,LINC01136
Valinomycin,AC004690.2
Valinomycin,LINC00652
trichostatin A,TP73-AS1
Estradiol,LINC00472
Valinomycin,LINC01361
Valinomycin,ATXN8OS
Valinomycin,LINC00472
Tanespimycin,AL450384.2
Tanespimycin,AL157838.1
Tanespimycin,AL021937.4
Rotenone,IDI2-AS1
Rotenone,AFDN-DT
Rotenone,VASH1-AS1
Rotenone,SNHG3
Rotenone,RFPL1S
Rotenone,AL450384.2
Rotenone,AC007389.3
Rotenone,TCL6
Rotenone,XIST
Thioridazine,Z83844.2
Thioridazine,LINC00599
Tanespimycin,LINC00472
Rotenone,LINC00963
Thioridazine,LINC00472
Pioglitazone,NDUFB2-AS1
Pioglitazone,AL139352.1
Pioglitazone,NDST2
Pioglitazone,RFPL1S
Pioglitazone,IDI2-AS1
Fulvestrant,AC007613.1
Fulvestrant,IDI2-AS1
Fulvestrant,AL355922.1
Fulvestrant,MIR22HG
Sirolimus,FOXD1-AS1
Sirolimus,AL450384.2
Sirolimus,GSN-AS1
Sirolimus,LINC00563
Pioglitazone,VASH1-AS1
Pioglitazone,AL450384.2
Pioglitazone,LINC00342
Pioglitazone,AC098487.1
Fulvestrant,PVT1
Sirolimus,SMIM27
Sirolimus,AC010834.1
LY-294002,AC007405.1
LY-294002,AP003469.4
Rotenone,AC002310.2
Rotenone,NDST2
Rotenone,AL021937.4
Rotenone,AL034550.1
Rotenone,AL441883.1
Rotenone,ENSG00000229645
Rotenone,NDUFB2-AS1
Rotenone,AL355922.1
Rotenone,PRIM2
monorden,AL034550.1
monorden,RFPL1S
monorden,SNHG3
monorden,AL157838.1
Rotenone,SMIM27
monorden,SNHG14
monorden,AP003469.4
monorden,AL450384.2
monorden,SMIM27
Tanespimycin,LINC00474
Estradiol,LINC00963
Estradiol,AL034550.1
Estradiol,LINC00563
Estradiol,LINC00342
Estradiol,AL117378.1
Estradiol,AP003469.4
Estradiol,AFDN-DT
Estradiol,AL441883.1
Estradiol,AL157838.1
Estradiol,ENSG00000229645
Valinomycin,NEAT1
Valinomycin,AC002310.2
Valinomycin,ENSG00000229645
Valinomycin,AC090360.1
Tanespimycin,LINC00652
Estradiol,PRKCZ-AS1
Estradiol,AC010834.1
Valinomycin,LINC00339
Fulvestrant,AL450384.2
Fulvestrant,FOXD1-AS1
Fulvestrant,CTXND1
Fulvestrant,AL157838.1
Fulvestrant,AC096564.2
Fulvestrant,AL117378.1
Fulvestrant,SNHG3
Fulvestrant,LINC00563
Fulvestrant,GSN-AS1
LY-294002,AC096564.2
LY-294002,FOXD1-AS1
LY-294002,XIST
LY-294002,LINC00563
Fulvestrant,AC044802.1
Fulvestrant,NOP14-AS1
Fulvestrant,AC093010.3
Fulvestrant,VASH1-AS1
Fulvestrant,PRKCZ-AS1
Pioglitazone,AC090360.1
Pioglitazone,MCF2L-AS1
Pioglitazone,AL157838.1
Pioglitazone,AFDN-DT
Pioglitazone,ZNF710-AS1
Pioglitazone,LINC02172
Pioglitazone,EGOT
Pioglitazone,AL355922.1
Pioglitazone,MYCNOS
Sirolimus,PRKCZ-AS1
Ozagrel,AL034550.1
meticrane,VASH1-AS1
meticrane,EGOT
meticrane,AC010542.4
meticrane,AL034550.1
Norfloxacin,AL117378.1
Norfloxacin,AL034550.1
Norfloxacin,IDI2-AS1
Ketorolac,VASH1-AS1
Ketorolac,ACVR2B-AS1
Metrifonate,AL021937.4
Metrifonate,AL034550.1
Metrifonate,RHPN1-AS1
Metrifonate,VASH1-AS1
Thalidomide,VASH1-AS1
Thalidomide,AC007613.1
Thalidomide,AL034550.1
Phenindione,VASH1-AS1
Phenindione,AL034550.1
Phenindione,MCF2L-AS1
Lincomycin,AL034550.1
proxyphylline,IDI2-AS1
proxyphylline,VASH1-AS1
proxyphylline,MYCNOS
Lymecycline,KLF3-AS1
Epirizole,VASH1-AS1
Epirizole,SNHG14
Epirizole,AL157838.1
Epirizole,LINC01136
Tranylcypromine,SNHG14
Tranylcypromine,VASH1-AS1
Imipenem,ACVR2B-AS1
homochlorcyclizine,LINC02172
homochlorcyclizine,AL034550.1
homochlorcyclizine,VASH1-AS1
nipecotic acid,AL117378.1
nipecotic acid,TCL6
Moricizine,ELOA-AS1
Moricizine,VASH1-AS1
Fenspiride,AL117378.1
Fenspiride,AL034550.1
Fenspiride,SMAD5-AS1
Iobenguane,MCF2L-AS1
Iobenguane,IDI2-AS1
Iobenguane,NOP14-AS1
Nortriptyline,VASH1-AS1
Nortriptyline,MIR22HG
Nortriptyline,NEAT1
Nortriptyline,AC010834.1
Nortriptyline,AL450384.2
Gliquidone,IDI2-AS1
Gliquidone,AL034550.1
Gliquidone,AP003469.4
Gliquidone,AL157838.1
Netilmicin,LINC00339
Netilmicin,MEG3
Netilmicin,AL034550.1
Netilmicin,XIST
Netilmicin,KIF25-AS1
Nifedipine,AL034550.1
Trolox C,AP003469.4
Trolox C,AL034550.1
Econazole,NDUFB2-AS1
Lansoprazole,AL034550.1
hydrastine hydrochloride,MCF2L-AS1
hydrastine hydrochloride,AL034550.1
hydrastine hydrochloride,LINC00563
Chenodeoxycholic acid,LINC00563
Chenodeoxycholic acid,AL031598.1
Chenodeoxycholic acid,AC007613.1
Chenodeoxycholic acid,TCL6
tiletamine,MCF2L-AS1
Pivmecillinam,AC007613.1
Pivmecillinam,AL021937.4
Pivmecillinam,AL441883.1
Pivmecillinam,TCL6
heptaminol,VASH1-AS1
heptaminol,AC002310.2
nifenazone,VASH1-AS1
nifenazone,AL034550.1
nifenazone,RFPL1S
nifenazone,LINC01136
Isotretinoin,VASH1-AS1
Isotretinoin,CTXND1
Isotretinoin,AL034550.1
Ribavirin,AL034550.1
Ribavirin,IDI2-AS1
Ribavirin,RHPN1-AS1
Diphenhydramine,AC093010.3
Pentoxifylline,TCL6
Pentoxifylline,LINC00563
harmol,RHPN1-AS1
harmol,SNHG14
harmol,AC010834.1
Flunisolide,AL117378.1
Flunisolide,ACVR2B-AS1
Flunisolide,AC010834.1
Flunisolide,LINC01963
mepenzolate bromide,AC010834.1
mepenzolate bromide,SNHG14
solasodine,LINC01361
solasodine,AC098487.1
solasodine,SNHG20
solasodine,ZNF213-AS1
solasodine,AC090360.1
solasodine,ELOA-AS1
eldeline,NOP14-AS1
eldeline,NDUFB2-AS1
eldeline,NDST2
eldeline,IDI2-AS1
eldeline,AL021937.4
pempidine,MIR22HG
pempidine,LINC01963
pempidine,SNHG14
Promazine,LINC00342
Promazine,AFDN-DT
Promazine,LINC01136
Promazine,AL450384.2
metamizole sodium,SNHG14
metamizole sodium,KIF25-AS1
metamizole sodium,AC007389.3
metamizole sodium,AC098487.1
metamizole sodium,MIR22HG
metamizole sodium,AL031598.1
metamizole sodium,LINC01136
